2017-05-08 22:54:09,611 mongodb.py[line:44] WARNING MongoDB delete all remarks.
2017-05-08 22:54:17,320 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b05'), 'proxy': '183.153.60.7:808'}
2017-05-08 22:54:17,325 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b06'), 'proxy': '119.29.15.77:8000'}
2017-05-08 22:54:17,331 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b07'), 'proxy': '43.241.227.180:8000'}
2017-05-08 22:54:17,334 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b08'), 'proxy': '183.153.60.7:808'}
2017-05-08 22:54:17,339 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b09'), 'proxy': '119.29.15.77:8000'}
2017-05-08 22:54:17,367 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b0a'), 'proxy': '43.241.227.180:8000'}
2017-05-08 22:54:17,372 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b0b'), 'proxy': '183.153.60.7:808'}
2017-05-08 22:54:17,375 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b0c'), 'proxy': '119.29.15.77:8000'}
2017-05-08 22:54:17,378 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b0d'), 'proxy': '43.241.227.180:8000'}
2017-05-08 22:54:17,381 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b0e'), 'proxy': '36.249.29.208:808'}
2017-05-08 22:54:17,384 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b0f'), 'proxy': '120.83.100.74:808'}
2017-05-08 22:54:17,457 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b10'), 'proxy': '182.87.242.95:808'}
2017-05-08 22:54:17,464 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b11'), 'proxy': '220.247.129.221:8080'}
2017-05-08 22:54:17,466 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b12'), 'proxy': '27.148.151.175:80'}
2017-05-08 22:54:17,467 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b13'), 'proxy': '221.229.46.51:808'}
2017-05-08 22:54:17,468 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b14'), 'proxy': '114.239.1.156:808'}
2017-05-08 22:54:17,471 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b15'), 'proxy': '113.69.167.26:808'}
2017-05-08 22:54:17,472 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b16'), 'proxy': '58.40.19.46:80'}
2017-05-08 22:54:17,474 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b17'), 'proxy': '113.121.247.38:808'}
2017-05-08 22:54:17,475 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b18'), 'proxy': '175.43.106.117:808'}
2017-05-08 22:54:17,475 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b19'), 'proxy': '121.31.103.192:8123'}
2017-05-08 22:54:17,476 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b1a'), 'proxy': '27.148.151.186:80'}
2017-05-08 22:54:17,477 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b1b'), 'proxy': '111.13.7.42:82'}
